site,date,year,month,sst_mean
EC,1900-01-16,1900,1,15.011162757873535
EC,1900-02-15,1900,2,16.089468002319336
EC,1900-03-16,1900,3,15.54884147644043
EC,1900-04-16,1900,4,15.060434341430664
EC,1900-05-16,1900,5,13.849939346313477
EC,1900-06-16,1900,6,13.259563446044922
EC,1900-07-16,1900,7,12.104538917541504
EC,1900-08-16,1900,8,11.62847900390625
EC,1900-09-16,1900,9,11.322290420532227
EC,1900-10-16,1900,10,12.157491683959961
EC,1900-11-16,1900,11,12.656428337097168
EC,1900-12-16,1900,12,13.998497009277344
EC,1901-01-16,1901,1,14.913331985473633
EC,1901-02-15,1901,2,15.555030822753906
EC,1901-03-16,1901,3,15.330039024353027
EC,1901-04-16,1901,4,15.045703887939453
EC,1901-05-16,1901,5,13.301006317138672
EC,1901-06-16,1901,6,12.38168716430664
EC,1901-07-16,1901,7,11.30678939819336
EC,1901-08-16,1901,8,10.532191276550293
EC,1901-09-16,1901,9,10.811660766601563
EC,1901-10-16,1901,10,11.717997550964355
EC,1901-11-16,1901,11,12.489990234375
EC,1901-12-16,1901,12,13.152693748474121
EC,1902-01-16,1902,1,15.296504020690918
EC,1902-02-15,1902,2,15.568093299865723
EC,1902-03-16,1902,3,15.570876121520996
EC,1902-04-16,1902,4,14.730806350708008
EC,1902-05-16,1902,5,13.303366661071777
EC,1902-06-16,1902,6,12.229045867919922
EC,1902-07-16,1902,7,12.158288955688477
EC,1902-08-16,1902,8,11.810291290283203
EC,1902-09-16,1902,9,11.124848365783691
EC,1902-10-16,1902,10,11.413857460021973
EC,1902-11-16,1902,11,12.788082122802734
EC,1902-12-16,1902,12,13.843183517456055
EC,1903-01-16,1903,1,14.871816635131836
EC,1903-02-15,1903,2,15.689844131469727
EC,1903-03-16,1903,3,15.635039329528809
EC,1903-04-16,1903,4,14.679121017456055
EC,1903-05-16,1903,5,13.627349853515625
EC,1903-06-16,1903,6,12.14280891418457
EC,1903-07-16,1903,7,11.873164176940918
EC,1903-08-16,1903,8,11.066978454589844
EC,1903-09-16,1903,9,10.849727630615234
