species,maximum_age,species_id
Acanthistius ocellatus,33,AOC
Acanthopagrus australis,22,AAU
Aplodactylus lophodon,90,ALO
Atypichthys strigatus,16,AST
Aulopus purpurissatus,8,APU
Cheilodactylus fuscus,40,CFU
Cheilodactylus spectabilis,97,CSP
Dinolestes lewini,9,DLE
Enoplosus armatus,20,EAR
Girella elevata,45,GEL
Girella tricuspidata,26,GTR
Girella zebra,48,GZE
Kyphosus spp.,93,KSP
Kyphosus sydneyanus,93,KSY
Notolabrus fucicola,20,NFU
Notolabrus gymnogenis,10,NGY
Notolabrus tetricus,12,NTE
Olisthops cyanomelas,14,OCY
Ophthalmolepis lineolatus,14,OLI
Parma microlepis,37,PMI
Parma unifasciata,26,PUN
Parupeneus spilurus,7,PSP
Pempheris spp.,16,PPS
Platycephalus bassensis,24,PBA
Prionurus maculatus,70,PMA
Prionurus microlepidotus,70,PMC
Schuettea scalaripinnis,14,SSC
Scorpaena jacksoniensis,33,SJA
Scorpis aequipinnis,68,SAE
Scorpis lineolata,54,SLI
Thalassoma lunare,7,TLU
Thalassoma lutescens,7,TLU
Zanclus cornutus,4,ZCO
